set	tool	file	present	n_rows	n_cols	columns	note	n_unique_ids	n_matched_to_metadata	n_nan_predictions
set_D	checkm2	checkm2_predictions.tsv	True	1000.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
set_D	cocopye	cocopye_predictions.tsv	True	1000.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
set_D	deepcheck	deepcheck_predictions.tsv	True	1000.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
set_E		metadata.tsv	True	1000.0	11.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_completeness,target_contamination,category				
set_E		labels.npy	True	1000.0	2.0	completeness,contamination	max|labels-metadata| = 3.81e-06			
set_E	magicc_v5	magicc_v5_predictions.tsv	True	1000.0	15.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_completeness,target_contamination,category,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
set_E	magicc_v4	magicc_v4_predictions.tsv	True	1000.0	3.0	genome_name,pred_completeness,pred_contamination	no embedded truth columns - joined on genome id	1000.0	1000.0	0.0
set_E	magicc_v3	magicc_predictions.tsv	True	1000.0	15.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_completeness,target_contamination,category,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
set_E	checkm2	checkm2_predictions.tsv	True	1000.0	15.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_completeness,target_contamination,category,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
set_E	cocopye	cocopye_predictions.tsv	True	1000.0	15.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_completeness,target_contamination,category,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
set_E	deepcheck	deepcheck_predictions.tsv	True	1000.0	15.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_completeness,target_contamination,category,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
set_C_clean		metadata.tsv	True	1000.0	10.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,ref_index,replicate				
set_C_clean		labels.npy	True	1000.0	2.0	completeness,contamination	max|labels-metadata| = 3.81e-06			
set_C_clean	magicc_v5	magicc_v5_predictions.tsv	True	1000.0	15.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,ref_index,replicate,pred_completeness,pred_contamination,wall_clock_s,n_threads,model	embedded truth agrees with metadata (max |diff| = 0.00e+00)	1000.0	1000.0	0.0
set_C_clean	magicc_v4	magicc_v4_predictions.tsv	False				file absent			0.0
set_C_clean	magicc_v3	magicc_predictions.tsv	False				file absent			0.0
set_C_clean	checkm2	checkm2_predictions.tsv	True	1000.0	16.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,ref_index,replicate,pred_completeness,pred_contamination,wall_clock_s,n_threads,tool,Completeness_Model_Used	embedded truth agrees with metadata (max |diff| = 0.00e+00)	1000.0	1000.0	0.0
set_C_clean	cocopye	cocopye_predictions.tsv	True	1000.0	17.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,ref_index,replicate,pred_completeness,pred_contamination,wall_clock_s,n_threads,tool,stage,taxonomy	embedded truth agrees with metadata (max |diff| = 0.00e+00)	1000.0	1000.0	0.0
set_C_clean	deepcheck	deepcheck_predictions.tsv	True	1000.0	15.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,ref_index,replicate,pred_completeness,pred_contamination,wall_clock_s,n_threads,tool	embedded truth agrees with metadata (max |diff| = 0.00e+00)	1000.0	1000.0	0.0
set_D_clean		metadata.tsv	True	1000.0	10.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,ref_index,replicate				
set_D_clean		labels.npy	True	1000.0	2.0	completeness,contamination	max|labels-metadata| = 3.80e-06			
set_D_clean	magicc_v5	magicc_v5_predictions.tsv	True	1000.0	15.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,ref_index,replicate,pred_completeness,pred_contamination,wall_clock_s,n_threads,model	embedded truth agrees with metadata (max |diff| = 0.00e+00)	1000.0	1000.0	0.0
set_D_clean	magicc_v4	magicc_v4_predictions.tsv	False				file absent			0.0
set_D_clean	magicc_v3	magicc_predictions.tsv	False				file absent			0.0
set_D_clean	checkm2	checkm2_predictions.tsv	True	1000.0	16.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,ref_index,replicate,pred_completeness,pred_contamination,wall_clock_s,n_threads,tool,Completeness_Model_Used	embedded truth agrees with metadata (max |diff| = 0.00e+00)	1000.0	1000.0	0.0
set_D_clean	cocopye	cocopye_predictions.tsv	True	1000.0	17.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,ref_index,replicate,pred_completeness,pred_contamination,wall_clock_s,n_threads,tool,stage,taxonomy	embedded truth agrees with metadata (max |diff| = 0.00e+00)	1000.0	1000.0	0.0
set_D_clean	deepcheck	deepcheck_predictions.tsv	True	1000.0	15.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,ref_index,replicate,pred_completeness,pred_contamination,wall_clock_s,n_threads,tool	embedded truth agrees with metadata (max |diff| = 0.00e+00)	1000.0	1000.0	0.0
set_A		metadata.tsv	True	600.0	8.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length				
set_A		labels.npy	True	600.0	2.0	completeness,contamination	max|labels-metadata| = 3.78e-06			
set_A	magicc_v5	magicc_v5_predictions.tsv	True	600.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 0.00e+00)	600.0	600.0	0.0
set_A	magicc_v4	magicc_v4_predictions.tsv	False				file absent			0.0
set_A	magicc_v3	magicc_predictions.tsv	True	600.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 0.00e+00)	600.0	600.0	0.0
set_A	checkm2	checkm2_predictions.tsv	True	600.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 0.00e+00)	600.0	600.0	0.0
set_A	cocopye	cocopye_predictions.tsv	True	600.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 0.00e+00)	600.0	600.0	0.0
set_A	deepcheck	deepcheck_predictions.tsv	True	600.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 0.00e+00)	600.0	600.0	0.0
set_B		metadata.tsv	True	600.0	8.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length				
set_B		labels.npy	True	600.0	2.0	completeness,contamination	max|labels-metadata| = 3.81e-06			
set_B	magicc_v5	magicc_v5_predictions.tsv	True	600.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	600.0	600.0	0.0
set_B	magicc_v4	magicc_v4_predictions.tsv	False				file absent			0.0
set_B	magicc_v3	magicc_predictions.tsv	True	600.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	600.0	600.0	0.0
set_B	checkm2	checkm2_predictions.tsv	True	600.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	600.0	600.0	0.0
set_B	cocopye	cocopye_predictions.tsv	True	600.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	600.0	600.0	0.0
set_B	deepcheck	deepcheck_predictions.tsv	True	600.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	600.0	600.0	0.0
motivating_v2_set_A		metadata.tsv	True	1000.0	9.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_completeness				
motivating_v2_set_A		labels.npy	True	1000.0	2.0	completeness,contamination	max|labels-metadata| = 3.81e-06			
motivating_v2_set_A	magicc_v5	magicc_v5_predictions.tsv	True	1000.0	13.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_completeness,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 0.00e+00)	1000.0	1000.0	0.0
motivating_v2_set_A	magicc_v4	magicc_v4_predictions.tsv	False				file absent			0.0
motivating_v2_set_A	magicc_v3	magicc_predictions.tsv	False				file absent			0.0
motivating_v2_set_A	checkm2	checkm2_predictions.tsv	True	1000.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 0.00e+00)	1000.0	1000.0	0.0
motivating_v2_set_A	cocopye	cocopye_predictions.tsv	True	1000.0	13.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_completeness,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 0.00e+00)	1000.0	1000.0	0.0
motivating_v2_set_A	deepcheck	deepcheck_predictions.tsv	True	1000.0	13.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_completeness,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 0.00e+00)	1000.0	1000.0	0.0
motivating_v2_set_B		metadata.tsv	True	1000.0	9.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_contamination				
motivating_v2_set_B		labels.npy	True	1000.0	2.0	completeness,contamination	max|labels-metadata| = 3.81e-06			
motivating_v2_set_B	magicc_v5	magicc_v5_predictions.tsv	True	1000.0	13.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_contamination,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
motivating_v2_set_B	magicc_v4	magicc_v4_predictions.tsv	False				file absent			0.0
motivating_v2_set_B	magicc_v3	magicc_predictions.tsv	False				file absent			0.0
motivating_v2_set_B	checkm2	checkm2_predictions.tsv	True	1000.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
motivating_v2_set_B	cocopye	cocopye_predictions.tsv	True	1000.0	13.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_contamination,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
motivating_v2_set_B	deepcheck	deepcheck_predictions.tsv	True	1000.0	13.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_contamination,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
motivating_v2_set_C		metadata.tsv	True	1000.0	11.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_completeness,target_contamination,category				
motivating_v2_set_C		labels.npy	True	1000.0	2.0	completeness,contamination	max|labels-metadata| = 3.81e-06			
motivating_v2_set_C	magicc_v5	magicc_v5_predictions.tsv	True	1000.0	15.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_completeness,target_contamination,category,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
motivating_v2_set_C	magicc_v4	magicc_v4_predictions.tsv	False				file absent			0.0
motivating_v2_set_C	magicc_v3	magicc_predictions.tsv	False				file absent			0.0
motivating_v2_set_C	checkm2	checkm2_predictions.tsv	True	1000.0	15.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_completeness,target_contamination,category,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
motivating_v2_set_C	cocopye	cocopye_predictions.tsv	True	1000.0	15.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_completeness,target_contamination,category,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
motivating_v2_set_C	deepcheck	deepcheck_predictions.tsv	True	1000.0	15.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,target_completeness,target_contamination,category,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1000.0	1000.0	0.0
motivating_set_A		metadata.tsv	True	600.0	8.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length				
motivating_set_A		labels.npy	True	600.0	2.0	completeness,contamination	max|labels-metadata| = 3.81e-06			
motivating_set_A	magicc_v5	magicc_v5_predictions.tsv	True	600.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 0.00e+00)	600.0	600.0	0.0
motivating_set_A	magicc_v4	magicc_v4_predictions.tsv	False				file absent			0.0
motivating_set_A	magicc_v3	magicc_predictions.tsv	False				file absent			0.0
motivating_set_A	checkm2	checkm2_predictions.tsv	True	600.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 0.00e+00)	600.0	600.0	0.0
motivating_set_A	cocopye	cocopye_predictions.tsv	True	600.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 0.00e+00)	600.0	600.0	0.0
motivating_set_A	deepcheck	deepcheck_predictions.tsv	True	600.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 0.00e+00)	600.0	600.0	0.0
motivating_set_B		metadata.tsv	True	1100.0	8.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length				
motivating_set_B		labels.npy	True	1100.0	2.0	completeness,contamination	max|labels-metadata| = 3.80e-06			
motivating_set_B	magicc_v5	magicc_v5_predictions.tsv	True	1100.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1100.0	1100.0	0.0
motivating_set_B	magicc_v4	magicc_v4_predictions.tsv	False				file absent			0.0
motivating_set_B	magicc_v3	magicc_predictions.tsv	False				file absent			0.0
motivating_set_B	checkm2	checkm2_predictions.tsv	True	1100.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1100.0	1100.0	0.0
motivating_set_B	cocopye	cocopye_predictions.tsv	True	1100.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1100.0	1100.0	0.0
motivating_set_B	deepcheck	deepcheck_predictions.tsv	True	1100.0	12.0	genome_id,true_completeness,true_contamination,dominant_accession,dominant_phylum,sample_type,n_contigs,total_length,pred_completeness,pred_contamination,wall_clock_s,n_threads	embedded truth agrees with metadata (max |diff| = 3.55e-15)	1100.0	1100.0	0.0
