cohort	tool	tool_key	n	true_HQ	pred_HQ	true_MQ	pred_MQ	true_LQ	pred_LQ	class_agreement_pct	n_truly_below_5pct_cont	false_fail_5pct_n	false_fail_5pct_rate	n_truly_below_10pct_cont	false_fail_10pct_rate	true_comp_ge90_n	pred_comp_ge90_n	comp90_recall_pct	denominator
ORF_compromised_assembly_only	DeepCheck	deepcheck	39	31	0	8	9	0	30	0.0	38	14	36.84	39	7.69	32	0	0.0	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
leakage_free_all_bins	MAGICC V5	magicc	130	87	90	21	39	22	1	74.62	130	3	2.31	130	0.77	87	91	96.55	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
leakage_free_all_bins	CheckM2 1.0.1	checkm2	130	87	61	21	33	22	36	73.08	130	24	18.46	130	1.54	87	66	73.56	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
leakage_free_all_bins	CoCoPyE 0.5.0	cocopye	130	87	55	21	5	22	70	57.69	130	70	53.85	130	46.15	87	99	100.0	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
leakage_free_all_bins	DeepCheck	deepcheck	130	87	59	21	33	22	38	73.08	130	18	13.85	130	1.54	87	59	67.82	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
all_MOCK1_all_bins	MAGICC V5	magicc	367	240	236	68	123	59	8	75.2	366	23	6.28	367	2.18	241	244	95.85	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
all_MOCK1_all_bins	CheckM2 1.0.1	checkm2	367	240	161	68	103	59	103	70.03	366	38	10.38	367	0.54	241	170	69.29	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
all_MOCK1_all_bins	CoCoPyE 0.5.0	cocopye	367	240	145	68	26	59	196	55.59	366	196	53.55	367	44.41	241	259	96.68	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
all_MOCK1_all_bins	DeepCheck	deepcheck	367	240	161	68	94	59	112	69.48	366	46	12.57	367	1.36	241	161	66.39	completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
below_50pct_floor	MAGICC V5	magicc	59	0	0	0	59	59	0	0.0	59	2	3.39	59	0.0	0	0		completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
below_50pct_floor	CheckM2 1.0.1	checkm2	59	0	0	0	1	59	58	98.31	59	1	1.69	59	1.69	0	0		completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
below_50pct_floor	CoCoPyE 0.5.0	cocopye	59	0	0	0	2	59	57	96.61	59	38	64.41	59	40.68	0	0		completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
below_50pct_floor	DeepCheck	deepcheck	59	0	0	0	0	59	59	100.0	59	9	15.25	59	3.39	0	0		completeness = retained dominant bp / dominant reference FULL length x 100; contamination = contaminant bp / dominant reference FULL length x 100 (MAGICC convention; identical denominator for truth and for every tool's target quantity)
